UniqueName,Index,EndUse,Group,Colloquial Name,Type,Family,Genus,Specific epithet,Sub species,Species name,Epithet and sub species,Typical Establish Stage,Typical Establish month,Typical Harvest Stage,Typical Harvest month,Typical Yield,Typical Yield Units,Yield type,Typical Population (/ha),TotalOrDry,Typical Dressing Loss %,Typical Field Loss %,Typical HI,HI Range,Moisture %,P Root,Max RD,A cover,rCover,Root [N],Stover [N],Product [N],TtEmerg,Tbase
Maturity harvest Potato Very Long (Group4),111,Potato,Potato,Maturity harvest,Very Long (Group4),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.9,1,1.2,0.9,1.15,1.8,0,5
Rape Seed General,27,Seed,Fodder,Rape,General,Brassicaceae,Brassica,napus,napus,Brassica napus napus,napus napus,Seed,Apr,LateReproductive,Feb,4,t/ha,Saleable seed ,1,Total,3,0,0.33,0.08,10,0.1,1.2,1,1.6,0.8,1.8,5,75,5
Cocksfoot Seed General,29,Seed,Forage,Cocksfoot,General,Poaceae ,Dactylus,glomerata,,Dactylus glomerata ,glomerata ,Seed,Feb,LateReproductive,Jan,1,t/ha,Saleable seed ,1,Total,10,0,0.09,0.03,15,0.1,1,1,0.8,0.9,1.2,2,150,0
Ryegrass Seed General,31,Seed,Forage,Ryegrass,General,Poaceae ,Lolium,perenne,,Lolium perenne ,perenne ,Seed,Apr,LateReproductive,Jan,2.07,t/ha,Saleable seed ,1,Total,15,0,0.15,0.05,14,0.1,0.9,1,1.5,0.9,0.9,1.9,0,0
Tall fescue Seed Turf,85,Seed,Forage,Tall fescue,Turf,Tall fescue Seed Turf,Poaceae,Festuca,arundinacea,x,Festuca arundinacea,Seed,May,LateReproductive,Jan,3.8,t/ha,Saleable seed,1,Total,15,0,0.25,0.1,14,0.1,0.9,1,0.7,0.9,1.5,2.5,100,0
White clover Seed General,33,Seed,Forage,White clover,General,Fabaceae ,Trifolium,repens,,Trifolium repens ,repens ,Seed,Mar,LateReproductive,Feb,0.6,t/ha,Saleable seed ,1,Total,20,0,0.15,0.09,14,0.1,0.9,1,0.6,1.5,4,3,150,5
Pumpkin Seed General,84,Seed,Fruit,Pumpkin,General,Cucurbitaceae,Cucurbita,pepo,,Cucurbita pepo ,pepo ,Seed,Oct,LateReproductive,Mar,0.8,t/ha,Saleable product ,1,Total,0,0,0.1,0,14,0.1,0.8,1,1,1,1.4,2,100,5
Carrot Seed General,30,Seed,Vegetable,Carrot,General,Apiaceae ,Daucus,carota,,Daucus carota ,carota ,Seed,Feb,LateReproductive,Feb,0.7,t/ha,Saleable seed ,1,Total,0,0,0.12,0.08,15,0.1,1.2,0.85,0.7,0.9,1.2,3.4,150,5
Pak choi Seed General,28,Seed,Vegetable,Pak choi,General,Brassicaceae,Brassica,rapa,chinensis,Brassica rapa chinensis,rapa chinensis,Seed,Sep,LateReproductive,Feb,1.3,t/ha,Saleable seed ,1,Total,0,0,0.245,0.14,8,0.1,1.2,0.85,1.5,0.8,1.1,3.2,150,5
Radish Seed Open pollinated,32,Seed,Vegetable,Radish,Open pollinated,Brassicaceae,Raphanus,raphanistrum,sativa,Raphanus raphanistrum sativa,raphanistrum sativa,Seed,Sep,LateReproductive,Feb,1.8,t/ha,Saleable seed ,1,Total,30,0,0.178,0.108,10,0.1,1.2,0.85,1.1,0.8,1.6,4.5,75,5
