DOY,MeanT,Rain,MeanPET
314,12.48,7.79,2.7
315,12.87,6.65,2.8
316,12.96,10.9,3
317,12.81,5.51,3.5
318,12.82,8.79,4
319,12.96,8.93,2.7
320,12.85,8.04,2.7
321,12.56,9.17,2.5
322,12.29,7.59,3.1
323,12.3,4.71,4.3
324,12.57,8.63,3.6
325,12.87,12.22,2.7
326,12.71,12.63,2.8
327,12.61,4.36,3.3
328,13.09,6.82,2.5
329,13.3,4.97,3.1
330,13.31,6.83,2.5
331,13.22,5.19,3.9
332,12.98,12.97,3.4
333,13.2,6.71,3.3
334,13.59,4.37,3.6
335,13.77,7.42,3.9
336,14.09,10.63,3.2
337,14.4,11.46,3.6
338,14.41,7.09,3.8
339,14.43,8.19,3.4
340,14.32,11.1,3.6
341,14.22,9.08,3.1
342,14.39,9.48,3.8
343,14.44,8.54,3.6
344,14.55,7.75,2.9
345,14.73,11.34,2.9
346,14.69,11.7,3.2
347,14.66,8.41,3.5
348,14.54,11.02,3.1
349,14.48,7.2,3.2
350,14.84,10.81,3.5
351,15.04,6.57,3.2
352,15.2,7.31,3.9
353,15.22,7.01,3.6
354,14.97,9.27,3.5
355,14.78,14.31,3
356,14.72,7.85,3.2
357,14.55,4.42,4.1
358,14.46,7.86,4.7
359,14.72,5.48,4.4
360,14.81,5.13,4.2
361,14.85,7.09,3.8
362,15.08,11.54,3.7
363,15.1,5.07,4.1
364,15.12,12.23,3.7
365,15.09,4.31,3.5
366,15.1,8.79,3.7
